
** (lxpanel:10056): WARNING **: 11:31:41.472: The directory '~/Templates' doesn't exist, ignoring it

(lxpanel:10056): GLib-GObject-CRITICAL **: 11:31:41.536: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

(lxpanel:10056): GLib-GObject-CRITICAL **: 11:31:41.538: g_object_unref: assertion 'G_IS_OBJECT (object)' failed

** (lxpanel:10056): WARNING **: 11:31:41.736: launchbar: desktop entry does not exist

(lxpanel:10056): Wnck-WARNING **: 11:31:41.741: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.094: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.097: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.100: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.102: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.104: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.130: Unhandled action type _OB_WM_ACTION_UNDECORATE

(lxpanel:10056): Wnck-WARNING **: 11:31:42.223: Unhandled action type _OB_WM_ACTION_UNDECORATE
